Column1,Column2,Column3,Column4
, PHENETHYL ANTHRANILATE," &diams; PHENETHYL ANTHRANILATE<br />&diams; BENZOIC ACID, 2-AMINO-, 2-PHENYLETHYL ESTER<br />&diams; ANTHRANILIC ACID, PHENETHYL ESTER<br />&diams; BENZYLCARBINYL ANTHRANILATE<br />&diams; BETA-PHENETHYL O-AMINOBENZOATE<br />&diams; PHENYLETHYL ANTHRANILATE<br />&diams; 2-PHENYLETHYL ANTHRANILATE<br />&diams; 2-PHENYLETHYL 2-AMINOBENZOATE<br />&diams; 2-PHENYLETHYL O-AMINOBENZOATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL BENZOATE," &diams; PHENETHYL BENZOATE<br />&diams; 2-PHENYLETHYL BENZOATE<br />&diams; BENZOIC ACID, 2-PHENYLETHYL ESTER<br />&diams; BENZOIC ACID, PHENETHYL ESTER<br />&diams; BENZYLCARBINYL BENZOATE<br />&diams; PHENYLETHYL BENZOATE<br />&diams; BETA-PHENYLETHYL BENZOATE<br />&diams; BETA-PHENETHYL BENZOATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, PHENETHYL BUTYRATE," &diams; PHENETHYL BUTYRATE<br />&diams; 2-PHENYLETHYL BUTYRATE<br />&diams; BENZYLCARBINYL BUTYRATE<br />&diams; PHENETHYL 2-METHYLPROPANOATE<br />&diams; BENZYLCARBINYL 2-METHYLPROPANOATE<br />&diams; BUTANOIC ACID, 2-PHENYLETHYL ESTER<br />&diams; 2-PHENYLETHYL BUTANOATE<br />&diams; BUTYRIC ACID, PHENETHYL ESTER<br />&diams; 2-PHENETHYL BUTANOATE<br />&diams; PHENETHYL BUTANOATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL CINNAMATE," &diams; PHENETHYL CINNAMATE<br />&diams; 2-PHENYLETHYL CINNAMATE<br />&diams; BENZYLCARBINYL CINNAMATE<br />&diams; BETA-PHENETHYL BETA-PHENYLACRYLATE<br />&diams; BENZYLCARBINYL 3-PHENYLPROPENOATE<br />&diams; 2-PHENYLETHYL 3-PHENYLPROPENOATE<br />&diams; 2-PROPENOIC ACID, 3-PHENYL-, 2-PHENYLETHYL ESTER<br />&diams; CINNAMIC ACID, PHENETHYL ESTER<br />&diams; BETA-PHENYLETHYL CINNAMATE<br />&diams; BETA-PHENETHYL CINNAMATE<br />&diams; PHENYLETHYL CINNAMATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL DECANOATE," &diams; PHENETHYL DECANOATE<br />&diams; decanoic acid, 2-phenylethyl ester<br />&diams; 2-phenylethyl decanoate<br />&diams; phenethyl caprate<br />&diams; beta-phenethyl decanoate<br />&diams; InChI=1S/C18H28O2/c1-2-3-4-5-6-7-11-14-18(19)20-16-15-17-12-9-8-10-13-17/h8-10,12-13H,2-7,11,14-16H2,1H3<br />&diams; InChIKey: DDMQLUJPAGWJOB-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, PHENETHYL FORMATE," &diams; PHENETHYL FORMATE<br />&diams; 2-PHENYLETHYL FORMATE<br />&diams; BENZYLCARBINYL FORMATE<br />&diams; BENZYLCARBINYL METHANOATE<br />&diams; 2-PHENETHYL METHANOATE<br />&diams; PHENYLETHYL FORMATE<br />&diams; FORMIC ACID, 2-PHENYLETHYL ESTER<br />&diams; PHENETHYL ALCOHOL, FORMATE<br />&diams; BETA-PHENYLETHYL FORMATE<br />&diams; BETA-PHENETHYL FORMATE<br />&diams; FORMIC ACID, PHENETHYL ESTER", FLAVORING AGENT OR ADJUVANT
, PHENETHYL HEXANOATE," &diams; PHENETHYL HEXANOATE<br />&diams; 2-PHENYLETHYL CAPROATE<br />&diams; 2-PHENYLETHYL HEXANOATE<br />&diams; BENZYLCARBINYL CAPROATE<br />&diams; BENZYLCARBINYL HEXANOATE<br />&diams; 2-PHENETHYL HEXANOATE<br />&diams; HEXANOIC ACID, 2-PHENYLETHYL ESTER<br />&diams; HEXANOIC ACID, PHENETHYL ESTER", FLAVORING AGENT OR ADJUVANT
, PHENETHYL ISOBUTYRATE," &diams; PHENETHYL ISOBUTYRATE<br />&diams; BENZYLCARBINYL ISOBUTYRATE<br />&diams; ISOBUTYRIC ACID, PHENETHYL ESTER<br />&diams; PROPANOIC ACID, 2-METHYL-, 2-PHENYLETHYL ESTER<br />&diams; PHENETHYL 2-METHYLPROPIONATE<br />&diams; 2-PHENYLETHYL ISOBUTYRATE<br />&diams; 2-PHENYLETHYL 2-METHYLPROPANOATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL ISOTHIOCYANATE," &diams; PHENETHYL ISOTHIOCYANATE<br />&diams; BENZENE, (2-ISOTHIOCYANATOETHYL)-<br />&diams; (2-ISOTHIOCYANATOETHYL)BENZENE<br />&diams; BETA-PHENETHYL ISOTHIOCYANATE<br />&diams; ISOTHIOCYANIC ACID, PHENETHYL ESTER<br />&diams; PHENYLETHYL MUSTARD OIL<br />&diams; 2-PHENYLETHYL ISOTHIOCYANATE<br />&diams; 1-ISOTHIOCYANATO-2-PHENYLETHANE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL ISOVALERATE," &diams; PHENETHYL ISOVALERATE<br />&diams; BENZYLCARBINYL ISOVALERATE<br />&diams; BENZYLCARBINYL 3-METHYLBUTANOATE<br />&diams; BENZYLCARBINYL ISOPENTANOATE<br />&diams; BUTANOIC ACID, 3-METHYL-, 2-PHENYLETHYL ESTER<br />&diams; BETA-PHENETHYL ISOVALERATE<br />&diams; ISOVALERIC ACID, PHENETHYL ESTER<br />&diams; PHENETHYL 3-METHYLBUTYRATE<br />&diams; PHENETHYL ISOVALERIANATE<br />&diams; PHENYLETHYL 3-METHYLBUTYRATE<br />&diams; 2-PHENYLETHYL 3-METHYLBUTANOATE<br />&diams; 2-PHENYLETHYL ISOVALERATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL OCTANOATE," &diams; PHENETHYL OCTANOATE<br />&diams; 2-PHENYLETHYL OCTANOATE<br />&diams; BENZYLCARBINYL OCTANOATE<br />&diams; 2-PHENYLETHYL CAPRYLATE<br />&diams; OCTANOIC ACID, 2-PHENYLETHYL ESTER<br />&diams; OCTANOIC ACID, PHENETHYL ESTER<br />&diams; 2-PHENETHYL OCTANOATE<br />&diams; PHENYLETHYL CAPRYLATE<br />&diams; BETA-PHENYLETHYL OCTANOATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL PHENYLACETATE," &diams; PHENETHYL PHENYLACETATE<br />&diams; BENZYLCARBINYL ALPHA-TOLUATE<br />&diams; BENZYLCARBINYL PHENYLACETATE<br />&diams; BENZENEACETIC ACID, 2-PHENYLETHYL ESTER<br />&diams; ACETIC ACID, PHENYL-, PHENETHYL ESTER<br />&diams; BETA-PHENYLETHYL PHENYLACETATE<br />&diams; PHENYLETHYL PHENYLACETATE<br />&diams; 2-PHENYLETHYL PHENYLACETATE<br />&diams; 2-PHENYLETHYL ALPHA-TOLUATE<br />&diams; 2-PHENYLETHYL BENZENEACETATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL PROPIONATE," &diams; PHENETHYL PROPIONATE<br />&diams; PHENYLETHYL PROPIONATE<br />&diams; 2-PHENYLETHYL PROPIONATE<br />&diams; BENZYLCARBINYL PROPIONATE<br />&diams; 2-PHENYLETHYL PROPANOATE<br />&diams; PROPANOIC ACID, 2-PHENYLETHYL ESTER<br />&diams; PROPIONIC ACID, PHENETHYL ESTER<br />&diams; 2-PHENETHYL PROPIONATE<br />&diams; BETA-PHENYLETHYL PROPIONATE<br />&diams; PHENETHYL POPANOATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYL SALICYLATE," &diams; PHENETHYL SALICYLATE<br />&diams; 2-PHENYLETHYL SALICYLATE<br />&diams; 2-PHENYLETHYL 2-HYDROXYBENZOATE<br />&diams; BENZYLCARBINYL 2-HYDROXYBENZOATE<br />&diams; BENZYLCARBINYL SALICYLATE<br />&diams; BENZOIC ACID, 2-HYDROXY-, 2-PHENYLETHYL<br />&diams; SALICYLIC ACID, PHENETHYL ESTER", FLAVORING AGENT OR ADJUVANT
, PHENETHYL SENECIOATE," &diams; PHENETHYL SENECIOATE<br />&diams; 2-PHENYLETHYL SENECIOATE<br />&diams; 2-PHENYLETHYL 3-METHYL-2-BUTENOATE<br />&diams; PHENETHYL 3,3-DIMETHYLACRYLATE<br />&diams; PHENETHYL 3-METHYLCROTONATE<br />&diams; 2-BUTENOIC ACID, 3-METHYL-, 2-PHENETHYL ESTER<br />&diams; PHENYLETHYL BETA,BETA-DIMETHYLACRYLATE<br />&diams; PHENYLETHYL DIMETHYLACRYLATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, PHENETHYL TIGLATE," &diams; PHENETHYL TIGLATE<br />&diams; 2-PHENYLETHYL TIGLATE<br />&diams; 2-PHENYLETHYL TRANS-2-METHYLBUTENOATE<br />&diams; BENZYLCARBINYL TIGLATE<br />&diams; 2-PHENYLETHYL TRANS-2,3-DIMETHYLACRYLATE<br />&diams; 2-BUTENOIC ACID, 2-METHYL-, 2-PHENYLETHYL ESTER, (E)-<br />&diams; 2-PHENYLETHYL 2-METHYL-2-BUTENOATE, (E)-<br />&diams; BETA-PHENYLETHYL TIGLATE", FLAVORING AGENT OR ADJUVANT
, PHENETHYLAMINE, &diams; PHENETHYLAMINE<br />&diams; BENZENEETHANAMINE<br />&diams; BETA-PHENYLETHYLAMINE<br />&diams; 1-AMINO-2-PHENYLETHANE<br />&diams; 2-AMINOETHYLBENZENE<br />&diams; 2-PHENYLETHYLAMINE, FLAVORING AGENT OR ADJUVANT
, PHENOL, &diams; PHENOL<br />&diams; CARBOLIC ACID<br />&diams; HYDROXYBENZENE, FLAVORING AGENT OR ADJUVANT
, PHENOXYACETIC ACID," &diams; PHENOXYACETIC ACID<br />&diams; GLYCOL ACID PHENYL ETHER<br />&diams; PHENYLGLYCOLIC ACID, O-<br />&diams; POA<br />&diams; ACETIC ACID, PHENOXY-<br />&diams; PHENOXYETHANOIC ACID", FLAVORING AGENT OR ADJUVANT
, PHENYL ACETATE," &diams; PHENYL ACETATE<br />&diams; PHENOL ACETATE<br />&diams; ACETIC ACID, PHENYL ESTER<br />&diams; ACETOXYBENZENE<br />&diams; (ACETYLOXY)BENZENE", FLAVORING AGENT OR ADJUVANT
, PHENYL BUTYRATE," &diams; PHENYL BUTYRATE<br />&diams; butanoic acid, phenyl ester<br />&diams; phenyl butanoate<br />&diams; butyric acid, phenyl ester", FLAVORING AGENT OR ADJUVANT
, DIPHENYL ETHER," &diams; PHENYL ETHER<br />&diams; DIPHENYL ETHER<br />&diams; DIPHENYL OXIDE<br />&diams; PHENOXYBENZENE<br />&diams; OXYDIPHENYL<br />&diams; BENZENE, 1,1'-OXYBIS-<br />&diams; 1,1'-OXYBIS(BENZENE)<br />&diams; BIPHENYL OXIDE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, PHENYL SALICYLATE," &diams; PHENYL SALICYLATE<br />&diams; SALOL<br />&diams; BENZOIC ACID, 2-HYDROXY-, PHENYL ESTER<br />&diams; PHENYL 2-HYDROXYBENZOATE<br />&diams; SALICYLIC ACID, PHENYL ESTER"," ANTIOXIDANT,<br /> STABILIZER OR THICKENER"
," PHENYLACETALDEHYDE 2,3-BUTYLENE GLYCOL ACETAL"," &diams; PHENYLACETALDEHYDE 2,3-BUTYLENE GLYCOL ACETAL<br />&diams; 2-BENZYL-4,5-DIMETHYL-1,3-DIOXOLANE<br />&diams; 1,3-DIOXOLANE, 4,5-DIMETHYL-2-(PHENYLMETHYL)-<br />&diams; 4,5-DIMETHYL-2-(PHENYLMETHYL)-1,3-DIOXOLANE<br />&diams; 4,5-DIMETHYL-2-BENZYL-1,3-DIOXOLANE", FLAVORING AGENT OR ADJUVANT
, PHENYLACETALDEHYDE DIETHYL ACETAL," &diams; PHENYLACETALDEHYDE DIETHYL ACETAL<br />&diams; benzene, (2,2-diethoxyethyl)-<br />&diams; (2,2-diethyoxyethyl)benzene<br />&diams; acetaldehyde, phenyl-, diethyl acetal<br />&diams; 1,1-diethoxy-2-phenylethane", FLAVORING AGENT OR ADJUVANT
, PHENYLACETALDEHYDE DIISOBUTYL ACETAL," &diams; PHENYLACETALDEHYDE DIISOBUTYL ACETAL<br />&diams; BENZENE, (2,2-BIS(2-METHYLPROPOXY)ETHYL)-<br />&diams; (2,2-BIS(2-METHYLPROPOXY)ETHYL)BENZENE<br />&diams; 1,1-DIISOBUTOXY-2-PHENYLETHANE", FLAVORING AGENT OR ADJUVANT
, PHENYLACETALDEHYDE DIMETHYL ACETAL," &diams; PHENYLACETALDEHYDE DIMETHYL ACETAL<br />&diams; BENZENE, (2,2-DIMETHOXYETHYL)-<br />&diams; (2,2-DIMETHOXYETHYL)BENZENE<br />&diams; ACETALDEHYDE, PHENYL-, DIMETHYL ACETAL<br />&diams; ALPHA-TOLYLALDEHYDE DIMETHYL ACETAL<br />&diams; PADMA<br />&diams; 1,1-DIMETHOXY-2-PHENYLETHANE<br />&diams; 2,2-DIMETHOXY-1-PHENYLETHANE<br />&diams; 2-PHENYLACETALDEHYDE DIMETHYL ACETAL", FLAVORING AGENT OR ADJUVANT
, PHENYLACETALDEHYDE GLYCERYL ACETAL," &diams; PHENYLACETALDEHYDE GLYCERYL ACETAL<br />&diams; BENZENEACETALDEHYDE, CYCLIC ACETAL WITH 1,2,3-PROPANETRIOL<br />&diams; BENZENEACETALDEHYDE 1,2,3-PROPANETRIOL CYCLIC ACETAL<br />&diams; ACETALDEHYDE, PHENYL-, CYCLIC ACETAL WITH GLYCEROL<br />&diams; 5-HYDROXY-2-BENZYL-1,3-DIOXAN<br />&diams; 5-HYDROXYMETHYL-2-BENZYL-1,3-DIOXOLANE", FLAVORING AGENT OR ADJUVANT
, PHENYLACETALDEHYDE PROPYLENEGLYCOL ACETAL," &diams; PHENYLACETALDEHYDE PROPYLENE GLYCOL ACETAL<br />&diams; 1,3-dioxolane, 4-methyl-2-(phenylmethyl)-<br />&diams; 4-methyl-2-(phenylmethyl)-1,3-dioxolane<br />&diams; 2-benzyl-4-methyl-1,3-dioxolane", FLAVORING AGENT OR ADJUVANT
, PHENYLACETALDEHYDE," &diams; PHENYLACETALDEHYDE<br />&diams; HYACINTHIN<br />&diams; ALPHA-TOLUALDEHYDE<br />&diams; TOLUIC ALDEHYDE, ALPHA-<br />&diams; BENZYLCARBOXALDEHYDE<br />&diams; ALPHA-TOLUIC ALDEHYDE<br />&diams; PHENYLACETIC ALDEHYDE<br />&diams; 1-OXO-2-PHENYLETHANE<br />&diams; BENZENEACETALDEHYDE<br />&diams; ACETALDEHYDE, PHENYL-<br />&diams; PHENYLETHANAL<br />&diams; OXOPHENYLETHANE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, PHENYLACETIC ACID," &diams; PHENYLACETIC ACID<br />&diams; BENZYLCARBOXYLIC ACID<br />&diams; BENZENEACETIC ACID<br />&diams; ALPHA-TOLUIC ACID<br />&diams; ACETIC ACID, PHENYL-<br />&diams; OMEGA-PHENYLACETIC ACID<br />&diams; 2-PHENYLACETIC ACID<br />&diams; PHENYLETHANOIC ACID", FLAVORING AGENT OR ADJUVANT
, DL-PHENYLALANINE," &diams; PHENYLALANINE, DL-<br />&diams; ALPHA-AMINO-BETA-PHENYLPROPIONIC ACID, DL-<br />&diams; ALPHA-AMINOHYDROCINNAMIC ACID, DL-<br />&diams; DL-PHENYLALANINE<br />&diams; ALANINE, PHENYL-, DL-<br />&diams; BETA-PHENYL-ALPHA-ALANINE, DL-<br />&diams; BETA-PHENYLALANINE, DL-<br />&diams; PHENYLALANINE, (+-)-<br />&diams; 3-PHENYLALANINE, DL-<br />&diams; BETA-PHENYL-ALPHA-ALANINE, (+-)-<br />&diams; 2-AMINO-3-PHENYLPROPIONIC ACID, DL-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, L-PHENYLALANINE," &diams; PHENYLALANINE, L-<br />&diams; L-PHENYLALANINE<br />&diams; ALANINE, PHENYL-, L-<br />&diams; PHENYLALANINE, (S)-<br />&diams; ALPHA-AMINOHYDROCINNAMIC ACID, L-<br />&diams; ALPHA-AMINO-BETA-PHENYLPROPIONIC ACID, L-<br />&diams; BETA-PHENYLALANINE, L-<br />&diams; 2-AMINO-3-PHENYLPROPIONIC ACID, L-<br />&diams; BETA-PHENYL-ALPHA-ALANINE, L-<br />&diams; BETA-PHENYLALNINE, (-)-<br />&diams; 3-PHENYLALANINE, L-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
, 2-OXO-3-PHENYLPROPIONIC ACID," &diams; PHENYLPYRUVIC ACID<br />&diams; BETA-PHENYLPYRUVIC ACID<br />&diams; 3-PHENYLPYRUVIC ACID<br />&diams; 2-OXO-3-PHENYLPROPANOIC ACID<br />&diams; BENZENEPROPANOIC ACID, ALPHA-OXO-<br />&diams; ALPHA-OXOBENZENEPROPANOIC ACID<br />&diams; PYRUVIC ACID, PHENYL-<br />&diams; 2-OXO-3-PHENYLPROPIONIC ACID<br />&diams; 3-PHENYL-2-OXOPROPANOIC ACID", FLAVORING AGENT OR ADJUVANT
, (TRIHYDROXY-PHENYL)-PROPAN-1-ONE," &diams; PHLORETIN<br />&diams; 2',4',6'-TRIHYDROXY-3-(P-HYDROXYPHENYL)PROPIOPHENONE<br />&diams; NARINGIN DIHYDROCHALCONE AGLYCONE<br />&diams; 1-PROPANONE, 3-(4-HYDROXYPENYL)-1-(2,4,6-TRIHYDROXYPHENYL)-<br />&diams; 3-(4-HYDROXYPHENYL)-1-(2,4,6-TRIHYDROXYPHENYL)-1-PHENYL)-1-PROPANONE<br />&diams; DIHYDRONARINGENIN<br />&diams; PROPIOPHENONE, 2',4',6'-TRIHYDROXY-3-(P-HYDROXYPHENYL)-<br />&diams; noringenin dihydrochalcone<br />&diams; InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2<br />&diams; InChIKey: VGEREEWJJVICBM-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, TRILOBATIN," &diams; PHLORIZIN, P-<br />&diams; PRUNIN DIHYDROCHALCONE<br />&diams; InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-12-7-14(25)17(15(26)8-12)13(24)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-23,25-29H,3,6,9H2/t16-,18-,19+,20-,21-/m1/s1<br />&diams; InChIKey=GSTCPEBQYSOEHV-QNDFHXLGSA-N<br />&diams; p-phlorizin<br />&diams; 1-propanone, 1-(4-(beta-D-glucopyranosyloxy)-2,6-dihydroxyphenyl)-3-(4-hydroxyphenyl)-<br />&diams; 1-(4-(beta-D-glucopyranosyloxy)-2,6-dihydroxyphenyl)-3-(4-hydroxyphenyl)-1-propanone<br />&diams; phloretin 4'-glucoside<br />&diams; phloretin 4'-beta-D-glucoside<br />&diams; trilobatin", FLAVORING AGENT OR ADJUVANT
, PHOSPHORIC ACID," &diams; PHOSPHORIC ACID<br />&diams; ORTHOPHOSPHORIC ACID<br />&diams; PHOSPHORIC ACID, ORTHO-"," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FUMIGANT,<br /> MALTING OR FERMENTING AID,<br /> NON-NUTRITIVE SWEETENER,<br /> PH CONTROL AGENT,<br /> SEQUESTRANT"
, PHOSPHORUS OXYCHLORIDE, &diams; PHOSPHORUS OXYCHLORIDE<br />&diams; PHOSPHORYL CHLORIDE<br />&diams; PHOSPHORUS OXYTRICHLORIDE<br />&diams; PHOSPHORYL TRICHLORIDE<br />&diams; PHOSPHORIC TRICHLORIDE<br />&diams; TRICHLOROPHOSPHINE OXIDE, PH CONTROL AGENT
, PHTHALIDE," &diams; PHTHALIDE<br />&diams; 1(3H)-ISOBENZOFURANONE<br />&diams; 1-phthalanone<br />&diams; 2-hydroxymethylbenzoic acid, gamma-lactone<br />&diams; phthalolactone<br />&diams; InChI=1S/C8H6O2/c9-8-7-4-2-1-3-6(7)5-10-8/h1-4H,5H2<br />&diams; InChiKey=WNZQDUSMALZDQF-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, PHYTOL," &diams; PHYTOL<br />&diams; 2-HEXADECEN-1-OL, 3,7,11,15-TETRAMETHYL-, (R-(R*,R*-(E)))-<br />&diams; 3,7,11,15-TETRAMETHYL-2-HEXADECEN-1-OL, (R-(R*,R*-(E)))-<br />&diams; PHYTOL, TRANS-<br />&diams; 2-hexadecen-1-ol, 3,7,11,15-tetramethyl,(2E,7R,11R)-<br />&diams; 3,7,11,15-tetramethyl-2-hexadecen-1-ol,(2E,7R,11R)-<br />&diams; InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15 /t18-,19-/m1/s1<br />&diams; InChiKey=BOTWFXYSPFMFNR-ZJFWYBQPSA-N<br />&diams; InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15+/t18-,19-/m1/s1<br />&diams; InChIKey: BOTWFXYSPFMFNR-PYDDKJGSSA-N", FLAVORING AGENT OR ADJUVANT
, PHYTYL ACETATE," &diams; PHYTYL ACETATE<br />&diams; phytol acetate<br />&diams; 2-hexadecen-1-ol,3,7,11,15-tetramethyl<br />&diams; 3,7,11,15-tetramethyl-2-hexadecen-1-ol acetate,(2E,7R,11R)-<br />&diams; InChI=1S/C22H42O2/c1-18(2)10-7-11-19(3)12-8-13-20(4)14-9-15-21(5)16-17-24-22(6)23/h16,18-20H,7-15,17H2,1-6H3/b21-16+/t19-,20-/m1/s1<br />&diams; InChIKey: JIGCTXHIECXYRJ-ILWBRPEASA-N", FLAVORING AGENT OR ADJUVANT
," PIMENTA LEAF, OIL (PIMENTA OFFICINALIS LINDL.)", &diams; PIMENTA LEAF OIL<br />&diams; PIMENTO LEAF OIL<br />&diams; PIMENTA OFFICINALIS LEAF OIL, FLAVORING AGENT OR ADJUVANT
," PINE, SCOTCH, OIL (PINUS SYLVESTRIS L.)"," &diams; PINE NEEDLE OIL, SCOTCH<br />&diams; PINE, SCOTCH, OIL<br />&diams; PINUS SYLVESTRIS OIL<br />&diams; OILS, PINE, PINUS SYLVESTRIS<br />&diams; PINE OIL, SCOTCH<br />&diams; SCOTCH PINE NEEDLE OIL", FLAVORING AGENT OR ADJUVANT
," PINE NEEDLE, DWARF, OIL (PINUS MUGO TURRA VAR. PUMILIO (HAENKE) ZENARI)"," &diams; PINE NEEDLE OIL<br />&diams; DWARF PINE NEEDLE OIL<br />&diams; PINE NEEDLE OIL, DWARF<br />&diams; MOUNTAIN PINE OIL<br />&diams; PUMILO PINE OIL<br />&diams; OILS, PINE NEEDLE", FLAVORING AGENT OR ADJUVANT
," PINE TAR, OIL (PINUS SPP.)"," &diams; PINE TAR OIL<br />&diams; PINE TAR OIL, RECTIFIED", FLAVORING AGENT OR ADJUVANT
, PINOCARVEOL," &diams; PINOCARVEOL<br />&diams; 2(10)-PINEN-3-OL<br />&diams; 3-HYDROXY-6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTANE<br />&diams; BICYCLO(3.1.1)HEPTAN-3-OL, 6,6-DIMETHYL-2-METHYLENE-<br />&diams; 6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTAN-3-OL<br />&diams; 10-PINEN-3-OL<br />&diams; 6,6-DIMETHYL-3-HYDROXY-2-METHYLENEBICYCLO(3.1.1)HEPTANE", FLAVORING AGENT OR ADJUVANT
, PINOCARVYL ISOBUTYRATE," &diams; PINOCARVYL ISOBUTYRATE<br />&diams; propanoic acid,2-methyl-, 6,6-dimethyl-2-methylenebicyclo(3.1.1)hept-3-yl ester<br />&diams; 6,6-dimethyl-2-methylenebicyclo(3.1.1)hept-3-yl 2-methylpropanoate<br />&diams; pinocarveol isobutyrate", FLAVORING AGENT OR ADJUVANT
, PIPER LONGUM DISTILLATE," &diams; PIPER LONGUM DISTILLATE<br />&diams; pepper (piper), P. longum, ext.<br />&diams; pepper (piper), P. longum, distillate", FLAVORING AGENT OR ADJUVANT
, PIPERAZINE DIHYDROCHLORIDE," &diams; PIPERAZINE DIHYDROCHLORIDE<br />&diams; DIETHYLENEDIAMINE DIHYDROCHLORIDE<br />&diams; PIPERAZINE HYDROCHLORIDE<br />&diams; PIPERAZINE, DIHYDROCHLORIDE<br />&diams; InChI=1S/C4H10N2.2ClH/c1-2-6-4-3-5-1 /h5-6H,1-4H2<br />&diams; 2*1H<br />&diams; InChIKey: CVVIJWRCGSYCMB-UHFFFAOYSA-N",
, PIPERAZINE," &diams; PIPERAZINE<br />&diams; DIETHYLENEDIAMINE<br />&diams; PIPERAZINE, ANHYDROUS<br />&diams; HEXAHYDROPYRAZINE<br />&diams; PIPERAZIDINE<br />&diams; InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2<br />&diams; InChIKey: GLUUGHFHXGJENI-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, PIPERIDINE," &diams; PIPERIDINE<br />&diams; HEXAHYDROPYRIDINE<br />&diams; HEXAZANE<br />&diams; PENTAMETHYLENIMINE<br />&diams; AZACYCLOHEXANE<br />&diams; CYCLOPENTIMINE<br />&diams; PERHYDROPYRIDINE<br />&diams; InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2<br />&diams; InChIKey: NQRYJNQNLNOLGT-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, PIPERINE," &diams; PIPERINE<br />&diams; PIPEROYLPIPERIDINE<br />&diams; PIPERIDINE, 1-(5-(1,3-BENZODIOXOL-5-YL)-1-OXO-2,4-PENTADIENYL)-, (E,E)-<br />&diams; 1-(5-(1,3-BENZODIOXOL-5-YL)-1-OXO-2,4-PENTADIENYL)PIPERIDINE, (E,E)-<br />&diams; PIPERIDINE, 1-PIPEROYL-, (E,E)-<br />&diams; 1-PIPEROYLPIPERIDINE, (E,E)-<br />&diams; PIPERIN", FLAVORING AGENT OR ADJUVANT
, PIPERITENONE OXIDE," &diams; PIPERITENONE OXIDE<br />&diams; 1,2-EPOXY-P-MENTH-4(8)-EN-3-ONE<br />&diams; 7-OXABICYCLO(4.1.0)HEPTAN-2-ONE, 6-METHYL-3-(1-METHYLETHYLIDENE)-<br />&diams; 6-METHYL-3-(1-METHYLETHYLIDENE)-7-OXABICYCLO(4.1.0)HEPTAN-2-ONE<br />&diams; P-MENTH-4(8)-EN-3-ONE, 1,2-EPOXY-<br />&diams; InChI=1S/C10H14O2/c1-6(2)7-4-5-10(3)9(12-10)8(7)11/h9H,4-5H2,1-3H3<br />&diams; InChIKey: AKASWINDKIEEBO-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, PIPERITENONE," &diams; PIPERITENONE<br />&diams; P-MENTHA-1,4(8)-DIEN-3-ONE<br />&diams; 2-CYCLOHEXEN-1-ONE, 3-METHYL-6-(1-METHYLETHYLIDENE)-<br />&diams; 3-METHYL-6-(1-METHYLETHYLIDENE)-2-CYCLOHEXEN-1-ONE<br />&diams; PULESPENONE<br />&diams; 3-TERPINOLENONE<br />&diams; 1-METHYL-4-ISOPROPYLIDENE-1-CYCLOHEXEN-3-ONE", FLAVORING AGENT OR ADJUVANT
